id,sku,marca,descripcion,variantes,costo,categoria,imagen
342,PROD-0064,Artline,ARTLINE AINK PLUMINES DELGADOS EST/ 24 DELG,NULL,$111.60,Marcadores,/Imagenes_Catalogo/Artline/Plumones/B1101.webp
343,PROD-0065,Artline,ARTLINE AINK PLUMINES DELGADOS EST/ 6 DELG,NULL,$29.76,Marcadores,/Imagenes_Catalogo/Artline/Plumones/B1102.webp
344,PROD-0066,Artline,ARTLINE AINK PLUMINES DELGADOS,"ROJO, AZUL, NEGRO",$4.65,Marcadores,/Imagenes_Catalogo/Artline/Plumones/B1103.webp
345,PROD-0067,Artline,ARTLINE AINK PLUMINES DELGADOS EST/12 DELG,NULL,$55.80,Marcadores,/Imagenes_Catalogo/Artline/Plumones/B1104.webp
346,PROD-0068,Artline,ARTLINE TIJERA ESCOLAR A-INK T-5,NULL,$14.88,Tijeras,/Imagenes_Catalogo/Artline/Tijeras/B1201.webp
347,PROD-0069,Pelikan,PELIKAN ACUARELA ESCOLAR 12 CAMIONCITO,NULL,$52.08,Arte,/Imagenes_Catalogo/Pelikan/Acuarelas/C0201.webp
348,PROD-0070,Pelikan,PELIKAN ACUARELA PASTEL 6,NULL,$32.55,Arte,/Imagenes_Catalogo/Pelikan/Acuarelas/C0202.webp
349,PROD-0071,Pelikan,PELIKAN ACUARELA INFANTIL 12,NULL,$28.83,Arte,/Imagenes_Catalogo/Pelikan/Acuarelas/C0203.webp
350,PROD-0072,Pelikan,PELIKAN ACUARELA INFANTIL 6,NULL,$20.46,Arte,/Imagenes_Catalogo/Pelikan/Acuarelas/C0204.webp
351,PROD-0073,Pelikan,PELIKAN BATA MANGA LARGA,NULL,$202.74,Arte,/Imagenes_Catalogo/Pelikan/Batas/C0301.webp
352,PROD-0074,Pelikan,PELIKAN BATA SIN MANGA,NULL,$146.94,Arte,/Imagenes_Catalogo/Pelikan/Batas/C0302.webp
353,PROD-0075,Pelikan,PELIKAN GOMA BR40,NULL,$11.16,Borradores,/Imagenes_Catalogo/Pelikan/Borrador/C0401.webp
354,PROD-0076,Pelikan,PELIKAN GOMA M 20,NULL,$9.30,Borradores,/Imagenes_Catalogo/Pelikan/Borrador/C0402.webp
355,PROD-0077,Pelikan,PELIKAN GOMA M 40,NULL,$5.58,Borradores,/Imagenes_Catalogo/Pelikan/Borrador/C0403.webp
356,PROD-0078,Pelikan,PELIKAN MARCADOR GRUESO DE AGUA COLORELA,"AMARILLO, AZUL CLARO, AZUL OBSCURO, MAGENTA, NEGRO, NARANJA, ROJO, ROSA, VERDE LIMON, VERDE, VIOLETA",$19.53,Marcadores,/Imagenes_Catalogo/Pelikan/Colorela/C0501.webp
357,PROD-0079,Pelikan,PELIKAN ESTUCHE COLORELA C/12 SURTIDO,NULL,$232.50,Arte,/Imagenes_Catalogo/Pelikan/Colorela/C0502.webp
358,PROD-0080,Pelikan,PELIKAN CORRECTOR AQUA FLUID CON BROCHA,NULL,$22.32,Escritura,/Imagenes_Catalogo/Pelikan/Correctores/C0601.webp
359,PROD-0081,Pelikan,PELIKAN CORRECTOR T/PLUMA MINI,NULL,$31.62,Escritura,/Imagenes_Catalogo/Pelikan/Correctores/C0602.webp
360,PROD-0082,Pelikan,PELIKAN CORRECTOR T/PLUMA CORRECTO,NULL,$39.06,Escritura,/Imagenes_Catalogo/Pelikan/Correctores/C0603.webp
361,PROD-0083,Pelikan,PELIKAN PELICRAYONES REDONDOS JUMBO C/12,NULL,$59.52,Arte,/Imagenes_Catalogo/Pelikan/Crayones/C0701.webp
362,PROD-0084,Pelikan,PELIKAN PELICRAYONES TRIANGULAR C/12,NULL,$35.34,Arte,/Imagenes_Catalogo/Pelikan/Crayones/C0702.webp
363,PROD-0085,Pelikan,PELIKAN PELICRAYONES JUMBO TRIANGULAR C/24,NULL,$132.06,Arte,/Imagenes_Catalogo/Pelikan/Crayones/C0703.webp
364,PROD-0086,Pelikan,PELIKAN PELICRAYONES JUMBO TRIANGULAR C/12,NULL,$66.96,Arte,/Imagenes_Catalogo/Pelikan/Crayones/C0704.webp
365,PROD-0087,Pelikan,PELIKAN PELICRAYONES REDONDO C/12,NULL,$34.41,Arte,/Imagenes_Catalogo/Pelikan/Crayones/C0705.webp
366,PROD-0088,Pelikan,PELIKAN PELICRAYONES REDONDOS JUMBO C/24,NULL,$132.06,Arte,/Imagenes_Catalogo/Pelikan/Crayones/C0706.webp
367,PROD-0089,Pelikan,PELIKAN JUEGO DE GEOMETRIA MEDIANO CON COMPAS DE PREC,NULL,$76.26,Geometria,/Imagenes_Catalogo/Pelikan/Juego Geo/C0801.webp
368,PROD-0090,Pelikan,PELIKAN BICOLOR DELGADO ROJO/AZUL,NULL,$8.56,Escritura,/Imagenes_Catalogo/Pelikan/Lapices/C0901.webp
369,PROD-0091,Pelikan,PELIKAN COLORES REDONDOS C/24 LARGOS,NULL,$182.28,Arte,/Imagenes_Catalogo/Pelikan/Lapices/C0902.webp
370,PROD-0092,Pelikan,PELIKAN LAPIZ AMA #2 HB HEXAGONAL,NULL,$5.58,Escritura,/Imagenes_Catalogo/Pelikan/Lapices/C0903.webp
371,PROD-0093,Pelikan,PELIKAN LAPIZ AMA #2 HB TRIANGULAR,NULL,$5.58,Escritura,/Imagenes_Catalogo/Pelikan/Lapices/C0904.webp
372,PROD-0094,Pelikan,PELIKAN COLORES PASTEL C/12,NULL,$91.14,Arte,/Imagenes_Catalogo/Pelikan/Lapices/C0905.webp
373,PROD-0095,Pelikan,PELIKAN COLORES REDONDOS C/12 LARGOS,NULL,$91.14,Arte,/Imagenes_Catalogo/Pelikan/Lapices/C0906.webp
374,PROD-0096,Pelikan,PELIKAN COLORES  TRIANGULAR C/12 LARGOS,NULL,$96.72,Arte,/Imagenes_Catalogo/Pelikan/Lapices/C0907.webp
375,PROD-0097,Pelikan,PELIKAN COLORES  TRIANGULAR C/24 LARGOS,NULL,$193.44,Arte,/Imagenes_Catalogo/Pelikan/Lapices/C0908.webp
376,PROD-0098,Pelikan,PELIKAN LAPIZ DUO DUPLY GRAFITO/ROJO,NULL,$10.23,Escritura,/Imagenes_Catalogo/Pelikan/Lapices/C0909.webp
